Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT6oVKHyGaGkWVoUYjpvfOZ8,Interest,NEXO,0.70703790,NEXO,0.70703790,$0.69,-,-,"approved / NEXO Interest Earned",2026-01-07 06:00:00
NXT73Ul6ylCFo0v4kprspoeqy,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2026-01-07 00:00:00
NXT5kUN3cbgfCDtAu75T0mvvI,Interest,NEXO,0.70657466,NEXO,0.70657466,$0.70,-,-,"approved / NEXO Interest Earned",2026-01-06 06:00:00
NXT3PnoFANn2N6385diqQmRzT,Interest,NEXO,5.01341931,NEXO,5.01341931,$4.96,-,-,"approved / 2.114082 XRP",2026-01-06 06:00:00
NXT4a42BoX4B7J7LkhlKsKzUn,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2026-01-06 00:00:00
NXT1q1LqcKXgfebSGxH2TmtOX,Interest,NEXO,4.66354971,NEXO,4.66354971,$4.42,-,-,"approved / 2.114082 XRP",2026-01-05 06:00:00
NXTuhq0u2U1XvSPnn0AGQrSJ,Interest,NEXO,0.70613979,NEXO,0.70613979,$0.67,-,-,"approved / NEXO Interest Earned",2026-01-05 06:00:00
NXTFKi2ZmNotgI1DJWJZYpqX,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2026-01-05 00:00:00
NXT59m8S4Gi0eOKwONqLkekkr,Interest,NEXO,0.70571693,NEXO,0.70571693,$0.67,-,-,"approved / NEXO Interest Earned",2026-01-04 06:00:00
NXT2yHqJNTqvJ3w2c94QWMAhE,Interest,NEXO,4.51558599,NEXO,4.51558599,$4.27,-,-,"approved / 2.114082 XRP",2026-01-04 06:00:00
NXT3MXsOOiNH2jgeaPzl9A3Yd,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2026-01-04 00:00:00
NXT6F3LdINBZHJxAnoMWAU14N,Interest,NEXO,0.70528570,NEXO,0.70528570,$0.65,-,-,"approved / NEXO Interest Earned",2026-01-03 06:00:00
NXT6t5CeKvWRAAsTkzbl7IrP,Interest,NEXO,4.61946021,NEXO,4.61946021,$4.24,-,-,"approved / 2.114082 XRP",2026-01-03 06:00:00
NXT4eLdqxuECJrSwlgbVE52xp,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2026-01-03 00:00:00
NXT5KMIgukZs048b0AIqJ0mNG,Interest,NEXO,4.39903508,NEXO,4.39903508,$3.97,-,-,"approved / 2.114082 XRP",2026-01-02 06:00:00
NXT2oimhx8ZcuOuRokYECGZmy,Interest,NEXO,0.70487236,NEXO,0.70487236,$0.64,-,-,"approved / NEXO Interest Earned",2026-01-02 06:00:00
NXT65Q4Ys3FRFP1lzunHrdGyl,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2026-01-02 00:00:00
